Brand,Product,Price,Rating,Total_ratings,Total_reviews,Fit,Pattern
Majestic Man,Men Slim Fit Checkered Spread Collar Casual Shirt,469,4.1,"3,285",286,Slim,Checkered
Voroxy,Men Regular Fit Solid Spread Collar Casual Shirt,309,3.7,"22,948","1,996",Regular,Solid
Majestic Man,Men Slim Fit Military Camouflage Spread Collar Casual Shirt,469,4.2,654,57,Slim,Military
COMBRAIDED,Men Regular Fit Floral Print Spread Collar Casual Shirt,329,4,"5,363",311,Regular,Floral
Pepzo,Men Regular Fit Solid Spread Collar Casual Shirt,309,3.9,"1,71,374","14,214",Regular,Solid
VTEXX,Men Regular Fit Solid Spread Collar Casual Shirt,329,4,"83,731","7,005",Regular,Solid
METRONAUT,Men Slim Fit Checkered Casual Shirt,445,NA,NA,NA,Slim,Checkered
Peter England University,Men Super Slim Fit Solid Spread Collar Casual Shirt,659,4,223,16,Super,Fit
Solbiza,Men Regular Fit Printed Casual Shirt,329,3.9,"1,862",83,Regular,Printed
Pepzo,Men Regular Fit Solid Spread Collar Casual Shirt,309,3.9,"14,602","1,366",Regular,Solid
ASIAN & FITCH,Men Slim Fit Checkered Casual Shirt,436,4,"10,751",744,Slim,Checkered
HIGHLANDER,Men Slim Fit Printed Cut Away Collar Casual Shirt,419,4.1,"1,536",148,Slim,Printed
MOONVELLY,Men Slim Fit Solid Casual Shirt,389,3.9,"16,479","1,300",Slim,Solid
METRONAUT By Flipkart,Men Slim Fit Checkered Casual Shirt,324,3.7,105,6,Slim,Checkered
Plus91,Men Slim Fit Graphic Print Ribbed Collar Casual Shirt,389,4,"37,929","2,236",Slim,Graphic
VeBNoR,Men Regular Fit Solid Spread Collar Casual Shirt,379,4,"1,25,357","12,845",Regular,Solid
allan peter,Men Regular Fit Checkered Mandarin Collar Casual Shirt,409,3.7,"6,248",421,Regular,Checkered
FUBAR,Men Slim Fit Washed Mandarin Collar Casual Shirt,419,3.8,"62,743","5,967",Slim,Washed
VeBNoR,Men Regular Fit Solid Spread Collar Casual Shirt,379,4,"1,25,357","12,845",Regular,Solid
COMBRAIDED,Men Regular Fit Floral Print Casual Shirt,329,4,"5,363",311,Regular,Floral
COMBRAIDED,Men Slim Fit Striped Slim Collar Casual Shirt,289,3.8,"10,725",648,Slim,Striped
Nat Jastica,Men Regular Fit Solid Cut Away Collar Casual Shirt,443,3.4,7,1,Regular,Solid
VeBNoR,Men Regular Fit Solid Mandarin Collar Casual Shirt,379,4,"25,142","2,456",Regular,Solid
clinch fashion,Men Regular Fit Checkered Slim Collar Casual Shirt,440,3.9,"8,309",491,Regular,Checkered
allan peter,Men Regular Fit Printed Mandarin Collar Casual Shirt,409,3.8,967,70,Regular,Printed
Solbiza,Men Regular Fit Printed Casual Shirt  (Pack of 2),489,4,640,40,Regular,Printed
LEWEL,Men Slim Fit Checkered Casual Shirt,472,3.8,"23,038","1,389",Slim,Checkered
Peter England University,Men Super Slim Fit Self Design Casual Shirt,659,4.1,305,23,Super,Fit
Peter England University,Men Super Slim Fit Striped Casual Shirt,714,4,302,20,Super,Fit
VeBNoR,Men Regular Fit Solid Spread Collar Casual Shirt,379,4,"1,25,357","12,845",Regular,Solid
HIGHLANDER,Men Slim Fit Printed Cut Away Collar Casual Shirt,419,4.1,"1,536",148,Slim,Printed
Unistreet,Men Slim Fit Checkered Spread Collar Casual Shirt,319,3.8,"12,556","1,257",Slim,Checkered
METRONAUT,Men Slim Fit Checkered Casual Shirt,445,NA,NA,NA,Slim,Checkered
Majestic Man,Men Slim Fit Checkered Spread Collar Casual Shirt,469,4.1,"3,285",286,Slim,Checkered
Tanip,Men Slim Fit Solid Spread Collar Casual Shirt,339,3.9,"37,201","2,951",Slim,Solid
HIGHLANDER,Men Slim Fit Checkered Cut Away Collar Casual Shirt,523,3.8,40,7,Slim,Checkered
MOONVELLY,Men Slim Fit Solid Casual Shirt,389,3.9,"16,479","1,300",Slim,Solid
FUBAR,Men Slim Fit Washed Mandarin Collar Casual Shirt,419,3.8,"62,743","5,967",Slim,Washed
HIGHLANDER,Men Slim Fit Solid Mandarin Collar Casual Shirt,439,4.1,"4,762",491,Slim,Solid
icome,Men Regular Fit Printed Ribbed Collar Casual Shirt,329,4,"4,105",217,Regular,Printed
Pepzo,Men Regular Fit Solid Spread Collar Casual Shirt,309,3.9,"1,71,374","14,214",Regular,Solid
Majestic Man,Men Slim Fit Solid Spread Collar Casual Shirt,469,3.9,"26,085","2,596",Slim,Solid
FUBAR,Men Slim Fit Checkered Casual Shirt,299,3.9,"1,610",149,Slim,Checkered
VTEXX,Men Regular Fit Solid Spread Collar Formal Shirt,329,4.1,"3,757",276,Regular,Solid
